,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,CALLS_PER_DAY_NYC
360,2014-01-14,49,44,0.0,10,15,1,1,False,3779.0
361,2014-01-15,46,36,0.0,10,9,2,1,False,3747.0
362,2014-01-16,41,36,0.0,10,14,3,1,False,3555.0
363,2014-01-17,45,33,0.0,10,14,4,1,False,3644.0
364,2014-01-18,38,30,0.0,10,20,5,1,False,3160.0
365,2014-01-19,38,25,0.0,10,21,6,1,False,3234.0
366,2014-01-20,46,34,0.0,10,23,0,1,True,3226.0
367,2014-01-21,29,12,0.0,10,22,1,1,False,4129.0
368,2014-01-22,18,7,0.0,10,28,2,1,False,3323.0
369,2014-01-23,21,9,0.0,10,21,3,1,False,3641.0
370,2014-01-24,19,11,0.0,10,20,4,1,False,3463.0
371,2014-01-25,27,19,0.0,10,22,5,1,False,3217.0
372,2014-01-26,31,18,0.0,10,25,6,1,False,3198.0
373,2014-01-27,43,23,0.0,10,21,0,1,False,3569.0
374,2014-01-28,20,13,0.0,10,20,1,1,False,3474.0
375,2014-01-29,23,15,0.0,10,18,2,1,False,3466.0
376,2014-01-30,29,18,0.0,10,13,3,1,False,3454.0
377,2014-01-31,39,26,0.0,10,12,4,1,False,3466.0
378,2014-02-01,43,33,0.0,10,12,5,1,False,3545.0
379,2014-02-02,54,31,0.0,10,12,6,1,False,3384.0
380,2014-02-03,41,30,0.0,10,15,0,1,False,3769.0
381,2014-02-04,36,25,0.0,10,14,1,1,False,3887.0
382,2014-02-05,34,28,0.0,10,21,2,1,False,3532.0
383,2014-02-06,30,23,0.0,10,17,3,1,False,4040.0
384,2014-02-07,33,25,0.0,10,18,4,1,False,3770.0
385,2014-02-08,29,22,0.0,10,15,5,1,False,3451.0
386,2014-02-09,29,21,0.0,10,14,6,1,False,3272.0
387,2014-02-10,29,22,0.0,10,22,0,1,False,3689.0
388,2014-02-12,23,14,0.0,10,13,2,1,False,3532.0
389,2014-02-13,36,24,0.0,10,31,3,1,False,3274.0
